municipio_cod;lon;lat;alt
1400100;-60,67050;  2,8167000;  79,8282
1400159;-59,87800;  3,3503000;  86,6470
1400175;-60,60210;  2,6077000;  82,9828
1400209;-61,14920;  1,8039000;  49,5832
1400233;-59,69480;  0,8727000; 128,8348
1400282;-61,05230;  2,1682000;  80,6423
1400308;-60,91150;  2,4798000;  69,6286
1400407;-59,63520;  3,8830000; 102,7849
1400456;-61,14730;  4,4753000; 912,1299
1400472;-60,42510;  0,9372000;  83,7967
1400506;-59,90600;  0,9472000; 121,2456
1400605;-60,02830;  1,0181000; 116,3459
1400704;-60,19570;  4,5854000; 605,7996
1500107;-48,88440; -1,7235000;  10,1203
1500131;-48,39680; -4,9514000; 192,7567
1500206;-48,20050; -1,9634000;   7,3950
1500305;-50,39140; -0,1592000;   3,1364
1500347;-50,48530; -6,8049000; 296,2994
1500404;-54,74090; -1,9514000;  39,1312
1500503;-52,57680; -1,5273000;  18,7288
1500602;-52,21440; -3,2057000; 104,7483
1500701;-49,94500; -0,9845000;   5,0011
1500800;-48,37210; -1,3687000;  26,5644
1500859;-51,20160; -3,4761000;  56,3087
1500909;-46,64160; -1,0229000;  15,9878
1500958;-47,55620; -2,1294000;  41,3689
1501006;-55,33070; -3,6056000;  15,4513
1501105;-50,22200; -1,8898000;   1,6156
1501204;-49,67280; -2,7920000;  30,5624
1501253;-50,40600; -7,3511000; 401,3302
1501303;-48,62710; -1,5058000;   7,0765
1501402;-48,48780; -1,4598000;   8,4715
1501451;-54,94270; -2,6490000; 167,5600
1501501;-48,24180; -1,3614000;  31,6138
1501576;-48,59900; -5,0474000; 172,2786
1501600;-47,30590; -1,3675000;  54,7606
1501709;-46,76580; -1,0535000;  16,0401
1501725;-52,54340; -3,2978000; 189,0512
1501758;-48,40580; -5,7073000; 221,2928
1501782;-49,56990; -3,7781000;  95,4750
1501808;-50,48090; -1,6907000;   9,9016
1501907;-48,03590; -1,5140000;  17,0105
1501956;-46,54740; -1,7529000;  48,7226
1502004;-48,96070; -1,0088000;   9,5639
1502103;-49,49780; -2,2468000;  11,2290
1502152;-49,84900; -6,5322000; 295,7504
1502202;-47,17510; -1,1924000;  27,2765
1502301;-47,06280; -1,7462000;  64,7875
1502400;-47,92660; -1,2958000;  46,7974
1502509;-49,98930; -0,1624000;  11,5874
1502608;-48,28870; -0,9321000;  12,0047
1502707;-49,26450; -8,2649000; 180,1632
1502756;-47,94990; -1,9845000;  49,2626
1502764;-50,77160; -7,8111000; 311,5962
1502772;-49,60220; -6,0968000; 210,9542
1502806;-49,79150; -1,8094000;   2,4811
1502855;-55,11970; -1,8899000;  23,2875
1502905;-47,85130; -0,7325000;  16,0830
1502939;-47,55590; -4,2908000; 261,0707
1502954;-49,37400; -6,1035000; 138,7426
1503002;-56,74580; -2,1730000;  19,0392
1503044;-49,69760; -7,5587000; 187,6225
1503077;-47,04500; -1,9317000;  45,8188
1503093;-49,10100; -3,8425000;  82,5838
1503101;-51,64370; -1,4049000;  16,3925
1503200;-47,62240; -1,1243000;  42,5334
1503309;-48,96230; -1,9831000;   9,2831
1503408;-47,91340; -1,4266000;   3,9284
1503457;-47,49970; -2,5575000;  46,1165
1503507;-47,44080; -1,7715000;  17,2513
1503606;-55,99000; -4,2637000;  25,0586
1503705;-49,32440; -5,1288000;  88,5617
1503754;-57,76630; -6,2236000;  91,9102
1503804;-49,11280; -4,4484000; 117,0873
1503903;-56,09500; -2,1553000;  25,6114
1504000;-49,38150; -1,8919000;   7,6679
1504059;-47,55230; -2,0477000;  41,3752
1504109;-47,59920; -0,7959000;  22,9958
1504208;-49,14200; -5,3526000;  83,6178
1504307;-47,45530; -0,7624000;  21,2325
1504406;-47,70250; -0,7122000;  10,0126
1504422;-48,34050; -1,3464000;  14,1646
1504455;-52,88830; -3,4454000; 128,5213
1504505;-50,71750; -1,8034000;   8,8997
